id,make,model,year,VIN,color,price
362,Nissan,Sentra,1992,1N4AB7AP7EN259491,Green,2091.48
363,GMC,Savana,2012,1GTN1TEX6BZ239206,Violet,4380.82
364,Porsche,Cayman,2007,1GTN1TEX7DZ927170,Red,4315.48
365,Mercedes-Benz,SL-Class,1992,5FRYD4H20GB280517,Pink,4826.12
366,GMC,Yukon,2008,2C3CA1CVXAH511658,Aquamarine,6454.54
367,Chrysler,Sebring,2009,WAUHF98P77A264812,Turquoise,4875.67
368,Acura,TL,2005,SAJWA1CB3CL093627,Aquamarine,3950.38
369,Subaru,Impreza,2002,WA1LMAFE6CD077652,Maroon,2844.07
370,Infiniti,QX,2012,3N1BC1APXAL176594,Indigo,5858.74
371,Dodge,Challenger,2012,WAUUL68E35A611781,Puce,7354.03
372,Lexus,ES,1993,WAUEKAFB4AN276780,Crimson,3200.58
373,BMW,M3,1995,WBABS53401J699265,Indigo,1779.33
374,Dodge,Ramcharger,1992,WBAVM5C52FV096835,Purple,9192.37
375,Lamborghini,Diablo,1995,WBAPH73509A827623,Red,2477.91
376,Chevrolet,Monte Carlo,1996,WAUED54BX1N615806,Red,9318.73
377,Mazda,Mazda6,2006,4JGBF2FE2BA899331,Green,8500.62
378,Cadillac,STS,2011,1FTEX1CM0DK627245,Aquamarine,5496.16
379,Chevrolet,Silverado 1500,2011,1G4GH5G39DF976331,Purple,8935.83
380,Lexus,ES,2000,JN1CV6FE2FM395565,Red,5932.62
381,Porsche,911,2000,JH4DC53862C124975,Maroon,3064.14
382,Nissan,Rogue,2010,KMHGH4JF1BU326429,Turquoise,8747.58
383,Chevrolet,Express 1500,1997,JM1NC2EF5A0043577,Mauv,9443.4
384,Volkswagen,Jetta,2000,YV1902FH7D1080083,Crimson,6785.08
385,Toyota,Camry,2012,WBA3G7C58FK104075,Red,7474.17
386,Audi,90,1989,1HGCR2F3XDA307001,Teal,6396.15
387,Volkswagen,New Beetle,2000,5J8TB18257A158181,Teal,9048.59
388,Toyota,Highlander,2007,WA1CMBFPXEA558290,Yellow,2713.76
389,Ford,Probe,1994,1VWAH7A38EC398687,Teal,3422.55
390,Acura,Vigor,1994,1G6DS5ED6B0003091,Pink,2982.77
391,Porsche,Panamera,2010,WBADX7C54DE356356,Aquamarine,7148.48
392,Chevrolet,Express 1500,2011,1G6YV36A985190114,Puce,3630.43
393,Toyota,Camry Hybrid,2009,WBADS43461G584895,Orange,8282.93
394,Audi,S4,1994,WBA5B3C54FD063254,Crimson,3790.9
395,GMC,Yukon,2008,WAU4FAFL6CA915163,Violet,4681.25
396,Pontiac,Grand Prix,2001,1GD12ZCG9CF674365,Pink,4914.62
397,Subaru,Legacy,2006,WAUSG94F89N283770,Indigo,2849.57
398,Lincoln,Zephyr,2006,WBADX7C5XCE154099,Pink,7128.42
399,Kia,Rio,2001,WBA3A5C55CF763841,Goldenrod,2822.22
400,Subaru,Outback Sport,2002,WDDEJ7KB4BA545986,Blue,6981.35
401,Ford,Contour,1997,WAUDF98E66A648365,Blue,6715.17
402,Mazda,Tribute,2010,19XFA1F32BE633964,Khaki,1987.56
403,Aston Martin,DBS,2008,1GTN1UEH9EZ788675,Teal,9953.54
404,Audi,90,1990,5LMJJ2H51BE273069,Mauv,6113.11
405,Mercury,Tracer,1995,WBA1J9C54FV048882,Puce,8674.78
406,Aptera,Type-1h,2010,3FA6P0SU6DR658701,Khaki,6630.65
407,Toyota,Sequoia,2006,WAUJT54B74N907287,Maroon,6130.96
408,Aston Martin,V8 Vantage,2009,1ZVBP8AM7E5610151,Khaki,5401.24
409,Pontiac,Grand Prix,1973,3C63D2JL7CG548543,Orange,8274.82
410,BMW,6 Series,2004,WAU2MAFC0FN204908,Puce,7616.44
411,Mercedes-Benz,CLK-Class,2001,JN1CV6AP7DM436293,Khaki,2918.38
412,Mercedes-Benz,S-Class,2003,2C3CDXFG0DH524026,Khaki,6439.47
413,Audi,80,1991,WBA3B5C54FP708504,Puce,2307.37
414,Chrysler,Town & Country,2012,SCFAB02A87G863362,Purple,6761.51
415,Ford,Explorer,1995,YV4952BZ5E1903808,Puce,9451.44
416,BMW,Z4,2012,1HGCR2E59EA513267,Yellow,6525.61
417,Volvo,C30,2008,3VW467AT3CM097632,Blue,7511.67
418,Toyota,Land Cruiser,2003,1NXBE4EE0AZ769044,Khaki,3428.73
419,Suzuki,Vitara,2002,WAUHFAFL5FN852474,Teal,4793.9
420,Aston Martin,Rapide,2010,WDDHF7GB5EA364617,Aquamarine,8664.81
421,Audi,S8,2008,WBAYA6C59DD417736,Pink,2836.99
422,Ford,Crown Victoria,1999,3C4PDCBB9DT973132,Purple,8817.6
423,Ford,F250,1998,TRUWC28N821211477,Crimson,1694.4
424,Chevrolet,Corvette,2010,19UUA656X4A546031,Turquoise,8680.73
425,Subaru,Brat,1984,WBA3B5C51EF202035,Mauv,8508.66
426,Oldsmobile,Cutlass,1998,2C3CA2CV5AH934606,Red,1730.6
427,GMC,Savana 1500,2011,1N6AA0CAXCN427700,Violet,7702.1
428,Mitsubishi,Chariot,1995,5J6TF2H58EL383337,Violet,8360.95
429,Toyota,T100,1997,1G6KD5E67BU986116,Khaki,8404.81
430,Chevrolet,Silverado 2500,2009,2HNYD28448H601679,Puce,1764.62
431,Chrysler,Town & Country,1999,3N6CM0KN3EK733912,Khaki,6344.36
432,Hummer,H1,2006,WAUML54B13N371044,Mauv,7733.97
433,Volkswagen,Jetta,2007,5J6TF2H55FL226673,Crimson,5121.28
434,Cadillac,DeVille,2001,1FTWF3B57AE342887,Yellow,9326.33
435,Kia,Sportage,1998,WA1EV94LX7D426694,Puce,5285.34
436,Alfa Romeo,Spider,1992,1G6DP8ED8B0523666,Fuscia,6318.27
437,Buick,Regal,1996,WA1AY94L08D431829,Indigo,6068.42
438,Mazda,MX-5,2003,1GYUCGEF3AR127590,Red,1904.47
439,Mercedes-Benz,CLK-Class,2006,4A31K2DF8BE709612,Khaki,5610.13
440,Bentley,Brooklands,2010,1VWAH7A30DC077824,Turquoise,7992.66
441,Buick,Lucerne,2010,WBA3C3C56EK332157,Blue,4606.67
442,Volkswagen,Cabriolet,1986,5XYKT3A64FG992277,Orange,3825.29
443,Chevrolet,Caprice,1992,WVGEF9BP1DD442816,Purple,1582.91
444,Kia,Sephia,1999,WAULT64B23N875846,Teal,4698.32
445,Chevrolet,Corvette,2000,YV4852CZ5A1007478,Fuscia,9950.53
446,Mazda,Familia,1988,WAUGFAFR9DA611019,Khaki,4540.2
447,Volkswagen,Eos,2009,JH4DC54803C333337,Maroon,4739.55
448,Audi,80,1992,1D7RB1CT4BS084754,Aquamarine,7707.8
449,Ford,Thunderbird,1972,WDBWK5EA7BF569915,Goldenrod,5757.08
450,Ford,E-Series,1988,1GYEE637X70618126,Crimson,1975.09
451,Ford,Ranger,1984,5GAER13D39J686740,Blue,7869.65
452,Audi,A6,2004,4A31K2DF2BE480456,Red,5113.33
453,Maserati,Coupe,2006,WBAWL7C56AP987064,Fuscia,5378.85
454,Aptera,2e,2009,SALVP2BG6FH473234,Purple,1934.75
455,Buick,LeSabre,1997,19UUA76517A261265,Yellow,6916.87
456,Suzuki,Daewoo Magnus,2006,3D73Y4HL3BG837213,Teal,1295.49
457,Plymouth,Voyager,1994,WBSBR93493P794910,Purple,9481.12
458,Chrysler,Sebring,2009,1GYS4FEJ8BR833281,Puce,2947.33
459,GMC,3500,1997,W04GP5EC3B1497806,Blue,6316.76
460,Porsche,911,2001,WA1LGBFE6BD266345,Purple,1710.4
461,Ford,Taurus,1998,5N1AN0NU1AC491157,Pink,9157.22
462,Toyota,Celica,1999,WAUHGBFC4DN013643,Goldenrod,1545.97
463,Cadillac,Escalade,1999,3N1CN7AP3EK721788,Mauv,9700.89
464,Honda,S2000,2008,WAUHF78P18A474098,Goldenrod,5272.29
465,Ford,Fusion,2012,WBABW53436P454498,Crimson,7704.92
466,Ford,Club Wagon,1992,WBAKF3C52CJ998146,Puce,9550.84
467,Toyota,Avalon,2009,1FTSX2B56AE891583,Goldenrod,2479.69
468,Buick,Skylark,1986,WAUVC68E05A556355,Maroon,2265.79
469,Chevrolet,Corvette,1985,2HKRM3H3XDH746010,Fuscia,6988.59
470,Chevrolet,Suburban 2500,2001,1D4SE6GT2BC229216,Puce,2487.41
471,Chevrolet,Aveo,2011,JA32X2HU7EU896982,Mauv,9796.61
472,Porsche,911,2011,5UMDU934X7L403609,Orange,5005.47
473,Kia,Spectra,2000,JN8AF5MR3DT438707,Maroon,7531.24
474,Dodge,Ram Van 1500,1997,1G6YV36A675365160,Violet,5277.03
475,GMC,Savana,2007,2T1BURHE9EC092093,Mauv,3623.23
476,Ford,Mustang,1995,19UUA9F73DA313679,Khaki,9146.0
477,Infiniti,J,1994,5FPYK1F24CB995858,Blue,7530.35
478,Nissan,Maxima,1998,WAUXU54B13N028485,Turquoise,6703.09
479,Dodge,Grand Caravan,2008,5NPDH4AE3BH235588,Goldenrod,2850.34
480,Mitsubishi,Diamante,2004,KNDPB3AC2F7207749,Maroon,2413.17
481,Buick,Roadmaster,1996,WAUVT68E44A219654,Violet,9608.8
482,Pontiac,Solstice,2009,JN1AZ4EH7AM384274,Mauv,4723.5
483,Buick,Regal,1992,SAJWA4GC6EM561559,Puce,1968.17
484,Jaguar,XJ,2009,1GYS4DEF2DR163715,Red,6666.65
485,Toyota,Sienna,2004,JN8AF5MR7ET172769,Orange,7539.84
486,Honda,Civic,1999,JH4DB76581S763220,Mauv,6685.86
487,Toyota,TundraMax,2010,WA1WKBFP5BA905250,Red,8792.62
488,Pontiac,Solstice,2008,WAUNF98PX6A393418,Violet,9248.3
489,Audi,A8,2011,WAUKH98E06A564902,Crimson,1090.64
490,Nissan,Quest,1997,3D73Y3CL0AG431941,Maroon,6699.02
491,Ford,F150,1995,1G6KY54912U395716,Blue,2591.68
492,Porsche,911,2000,2B3CK3CV1AH821204,Fuscia,1719.99
493,BMW,7 Series,2003,1N6AD0CU3AC313967,Aquamarine,5099.47
494,Dodge,Charger,2007,SCFEFBBC3AG597467,Red,3904.91
495,Ford,F350,1992,5N1CR2MM7EC266371,Turquoise,9684.92
496,Honda,CR-V,2009,1FTEX1EW7AF389364,Puce,9789.29
497,Volkswagen,Golf,2003,1N6AA0CJ2FN246613,Violet,5702.4
498,Saab,9-3,1999,WAUEF78E56A377291,Purple,9309.38
499,Ford,Escape,2006,4T1BK1EB4EU202807,Crimson,3162.97
500,Jeep,Grand Cherokee,1994,JTEBU4BF1DK145947,Blue,6271.21
501,Volkswagen,Touareg,2007,WAUDV74F07N464958,Green,7207.71
502,Shelby,GT350,1969,WA1CMAFE1AD595875,Teal,9553.17
503,Ford,Tempo,1985,3FA6P0LU3DR455134,Aquamarine,5633.54
504,Geo,Tracker,1996,KM8NU4CC5BU372884,Aquamarine,1922.97
505,Oldsmobile,Silhouette,2000,WAUCFAFHXCN625203,Mauv,2509.48
506,Ford,Mustang,2002,3N1AB6AP7AL183109,Goldenrod,2885.12
507,Kia,Sedona,2010,5J8TB3H75GL476250,Turquoise,7547.31
508,Acura,RL,2010,3D7JB1EK0AG612894,Aquamarine,1695.35
509,Toyota,Camry,2012,JN8AF5MR6DT187391,Violet,2333.26
510,Ford,E250,2010,1N6AF0LX8FN802493,Fuscia,8538.53
511,Honda,Prelude,1993,WBA3T3C56EP670855,Puce,2135.66
512,Mazda,MPV,2000,1C3CDFCB9ED369610,Pink,5658.63
513,Mercury,Mountaineer,1997,WBSDX9C57DJ897822,Goldenrod,2454.53
514,Volkswagen,Touareg,2006,WBAKF3C59CJ954483,Violet,2751.73
515,GMC,Rally Wagon 2500,1992,WBAGN83414D066761,Yellow,2297.55
516,Jeep,Grand Cherokee,2010,WBAUL73519V625612,Pink,4315.75
517,Volkswagen,GTI,2010,JTEBU5JR7C5547048,Khaki,5381.08
518,Infiniti,EX,2010,3C3CFFJH7DT713915,Orange,5729.53
519,Cadillac,CTS-V,2009,WA1C8AFP9EA854870,Goldenrod,4866.69
520,Honda,Accord Crosstour,2011,1FTWX3B52AE031929,Goldenrod,8879.15
521,Chevrolet,Suburban 2500,1996,WA1YD54B12N293102,Turquoise,9638.48
522,Suzuki,Grand Vitara,2009,JTDKDTB33F1637196,Red,8092.15
523,Honda,Accord Crosstour,2011,WAUVT68E75A624084,Pink,8609.86
524,Chevrolet,Corvette,2004,WBS3U9C52FP902445,Yellow,3916.76
525,Mazda,626,1997,WBAET37493N136025,Turquoise,9965.71
526,Kia,Sorento,2003,1FTEX1CM9DF875406,Puce,5839.91
527,Mercedes-Benz,SL-Class,1992,3G5DA03E73S514003,Maroon,8830.87
528,Dodge,Ram Van 1500,2002,5BZBF0AA0FN404104,Aquamarine,9172.71
529,Mazda,Tribute,2004,5GAKRDED5CJ279348,Yellow,6424.0
530,Dodge,Ram 2500,2003,1N6AA0CC0FN658319,Puce,9418.89
531,Lincoln,MKT,2012,JTEBU5JR9E5392232,Goldenrod,4511.41
532,Ford,E-Series,2007,1GYEC63N95R451626,Aquamarine,7821.32
533,Ford,Model T,1909,WAUBFAFL2CN438005,Pink,7847.52
534,GMC,3500,1998,WAUJGAFDXFN180905,Fuscia,6325.51
535,Bentley,Continental Super,2011,JN8AZ2KR3CT648151,Crimson,6510.22
536,Mitsubishi,Starion,1987,JHMZE2H3XBS868001,Fuscia,4754.04
537,Saturn,VUE,2008,3D7LP2ET2AG924546,Turquoise,6348.1
538,Suzuki,Grand Vitara,2012,3N1CN7AP9FL354553,Puce,5595.27
539,Chevrolet,Suburban 2500,1996,JTDKN3DU1F0301071,Indigo,8657.47
540,GMC,Jimmy,2001,JM1DE1KYXE0760245,Goldenrod,2758.72
541,Volkswagen,New Beetle,1999,2G4WD582571414614,Yellow,4199.05
542,Daewoo,Nubira,2002,5TDBCRFH3FS312126,Green,7426.14
543,Chevrolet,Corvette,1989,2G4WC552561539280,Turquoise,7954.38
544,Chevrolet,Vega,1971,3VW4S7AT7EM938379,Maroon,1731.96
545,Dodge,Ram Van B150,1992,WDCGG0EB7FG119954,Purple,5553.53
546,Toyota,RAV4,1997,KNDJN2A26F7504795,Indigo,2089.59
547,Infiniti,G,2001,1G4HR54K72U966127,Orange,4474.8
548,Mazda,Miata MX-5,1996,2C3CDZAT5FH289030,Yellow,6936.76
549,Mazda,B-Series,2004,3GYFK66N24G592362,Aquamarine,4887.61
550,Ford,Bronco,1990,19UUA75548A490817,Teal,6903.06
551,Saab,900,1997,YV1952AS7E1520518,Orange,3317.22
552,Pontiac,1000,1985,JN1AZ4EH0FM374435,Violet,1446.39
553,Volkswagen,Touareg,2008,JM1GJ1T68F1517423,Turquoise,9615.87
554,Subaru,Legacy,1999,1G6DV8EP0B0901978,Turquoise,1321.54
555,Audi,S8,2008,5N1AN0NU4FN658218,Pink,9278.85
556,GMC,Vandura 3500,1994,ZHWGU5BZ5AL856610,Turquoise,4253.63
557,Mercedes-Benz,R-Class,2009,1G6AB5SXXF0679938,Goldenrod,2882.3
558,Mercury,Cougar,1994,WUATNAFGXEN278684,Crimson,9900.11
559,Toyota,Corolla,2004,3D73Y4HL5BG257557,Puce,1834.84
560,Saab,9-5,2003,5YMGY0C51AL682229,Goldenrod,3448.16
561,Chevrolet,Sportvan G20,1995,JHMFA3F24BS498758,Fuscia,4604.4
562,Ford,Mustang,1969,4T1BF1FK5EU298904,Goldenrod,5640.39
563,Mazda,B-Series,2004,5TDBK3EH6CS914743,Puce,8702.33
564,Hyundai,Accent,1997,KNADM5A38F6621209,Teal,3569.56
565,MG,MGB,1977,WAUEH98E76A229035,Aquamarine,6288.58
566,Toyota,T100,1996,JM1CW2BL9D0203098,Khaki,6152.92
567,Ford,E350,2010,KNADM5A35D6886666,Indigo,4041.19
568,Volvo,S80,2007,WAUDH98E17A598244,Goldenrod,5504.22
569,Pontiac,Grand Prix,1995,WVWGU7AN6BE436492,Pink,4099.84
570,Chevrolet,Express 3500,2002,SAJWA8JH9EM131763,Mauv,7722.14
571,Mitsubishi,Galant,2000,2G61R5S33E9909347,Khaki,5996.67
572,Ford,Expedition,2012,WBAYG0C59DD379341,Maroon,6714.05
573,Chrysler,Grand Voyager,2000,WA1CFBFP3CA151001,Crimson,2467.35
574,Chevrolet,Avalanche 1500,2003,WAULC68E63A585105,Green,8866.12
575,Toyota,Tacoma,1999,1GTN1TEH4FZ497089,Orange,6993.29
576,Cadillac,Seville,1992,1G6DV1EP8D0184353,Fuscia,4929.56
577,Mitsubishi,Challenger,1999,WAUTFAFH0CN358797,Khaki,1728.89
578,Audi,Q5,2009,2C3CCAXJ4DH912290,Puce,8768.85
579,Volvo,XC70,2008,KMHGH4JH2EU964503,Pink,8438.91
580,Mazda,MPV,1991,WBA3B9C55DF945156,Teal,6578.04
581,Ford,Taurus,1995,2C3CCAHG7CH639637,Maroon,6544.94
582,Pontiac,Bonneville,1994,5J8TB3H38GL289078,Aquamarine,8462.76
583,Ford,Escape,2003,SALCR2BG9FH991100,Khaki,7725.36
584,Acura,RDX,2010,1GYS3BKJXFR108982,Turquoise,3127.95
585,Infiniti,Q,1998,WAUDH78EX8A278944,Yellow,6841.17
586,Dodge,Dakota Club,2004,1FTMF1CW9AK118041,Aquamarine,5386.53
587,Mitsubishi,Starion,1984,2G4WD582481747307,Fuscia,1158.5
588,Land Rover,LR4,2010,1GYS3HKJ0FR026200,Khaki,9327.03
589,Ford,F-Series,2009,1G6AD5SX7D0711347,Puce,5845.5
590,Aston Martin,Rapide,2012,3VW517AT7EM804852,Fuscia,6049.85
591,Lincoln,Navigator,2005,2CTALMEC9B6072741,Khaki,8936.23
592,Ford,F-Series,1991,JTHHE5BCXF5714687,Aquamarine,9761.68
593,GMC,Sonoma,1997,3GYFNCE39ES622932,Crimson,4631.68
594,Dodge,D350 Club,1992,5TDBKRFH0FS419055,Puce,4671.54
595,Toyota,Camry Hybrid,2010,WBAVB73568V048095,Khaki,2983.05
596,Pontiac,Fiero,1985,JM1NC2EF1A0998232,Pink,3878.39
597,Cadillac,Escalade ESV,2007,JN8AE2KP1C9065231,Indigo,3346.01
598,Oldsmobile,Bravada,1999,WAUBC48H36K424509,Khaki,1945.36
599,Ford,Mustang,1997,TRUTC28N641026706,Blue,2973.18
600,Pontiac,GTO,2004,1G6DG8E58C0329634,Red,3775.35
601,Pontiac,LeMans,1964,WBAYA6C55FG027752,Fuscia,8235.53
602,Audi,4000s,1985,WAUEH98E76A226748,Teal,2912.83
603,Land Rover,Range Rover,1991,1C4RDJEG9EC357674,Mauv,7104.0
604,Dodge,Stratus,1996,JN1CV6EK2DM580025,Orange,2107.52
605,Ford,Taurus,2009,WAUAG78E06A765363,Teal,9002.96
606,BMW,3 Series,2001,1G6AB5SA1D0798812,Maroon,1193.05
607,Dodge,Ram 2500,2000,WAULC68EX5A316480,Teal,7144.97
608,Chrysler,Voyager,2002,5NMSG3AB9AH847705,Pink,9231.07
609,Aston Martin,Vanquish S,2006,JN1CV6EL1EM792733,Teal,5391.92
610,Subaru,XT,1985,1G6DL8EV7A0852944,Pink,6267.26
611,Acura,MDX,2008,SCFEBBEL3DG602484,Aquamarine,1358.19
612,BMW,M5,2001,WAUNF98P58A809538,Violet,7154.17
613,Infiniti,G,1999,WAUDF78E36A550785,Crimson,5672.04
614,Mercury,Cougar,1969,WBA6B4C56FD080390,Indigo,5922.71
615,Mazda,B-Series,2000,3GYFNFEYXBS128376,Mauv,6439.87
616,Chrysler,New Yorker,1994,WBAVD53528A188862,Khaki,9701.39
617,Mitsubishi,Eclipse,1990,1GYFK438X8R643454,Aquamarine,2928.08
618,Suzuki,Sidekick,1994,WA1DVAFE8AD346068,Teal,7948.65
619,Dodge,Ram 1500,2001,1GYUCBEFXAR126326,Red,6564.69
620,Ford,Mustang,1983,19XFB2F56DE638074,Purple,2671.08
621,Nissan,Frontier,2008,1N4AL2AP5BN537946,Purple,8638.74
622,Ford,F250,1999,5TDBY5G10ES886550,Violet,4050.43
623,Ford,Mustang,2010,19UUA86229A105668,Purple,9073.07
624,Toyota,Tacoma,2001,1FTEX1E88AF854915,Red,2937.85
625,Volvo,S80,2010,JN1CV6FE5DM554740,Indigo,6111.52
626,Chevrolet,Corvette,1953,WAUGL78E76A166885,Aquamarine,5389.53
627,Lincoln,Mark VIII,1997,1D7CW2BK0AS946021,Teal,8611.78
628,Pontiac,Grand Prix,2001,1N4AB7AP3DN044401,Turquoise,7789.81
629,Daewoo,Leganza,2001,WBAWV53579P150026,Orange,6499.95
630,BMW,X6,2011,W04GZ5GV3B1782496,Orange,6006.97
631,Kia,Spectra,2004,WAUVT58E74A750308,Teal,7404.55
632,Lexus,LX,1998,5N1AA0NC1CN293639,Orange,1230.61
633,Ford,Fiesta,2013,WBAEV334X4P352262,Maroon,3628.39
634,Subaru,Legacy,1992,WAULF78K19N211585,Goldenrod,5329.94
635,Volkswagen,Passat,1999,WBADW7C52CE013109,Fuscia,7105.4
636,Infiniti,G,2000,1G6DH8E5XD0956737,Indigo,8948.86
637,Mazda,Mazdaspeed 3,2007,WVGAV3AX9EW296901,Purple,8138.25
638,Aston Martin,Vanquish S,2006,JHMZE2H51DS606226,Aquamarine,6324.99
639,Pontiac,LeMans,1988,WVWAN7AN8DE413267,Crimson,3432.38
640,Chrysler,300M,2000,3G5DB03E22S762641,Aquamarine,8718.53
641,Jeep,Patriot,2009,1G6DV5EP9B0236335,Red,6293.09
642,Mercedes-Benz,SL-Class,1994,WBANA53505B638460,Aquamarine,5052.75
643,Pontiac,Sunfire,2001,3GYVKNEF7AG668587,Puce,9295.7
644,MINI,MINI,2002,2C3CDZBT3FH200103,Fuscia,9862.24
645,Chevrolet,Caprice,1983,3VW467AT4CM815124,Goldenrod,1698.57
646,Pontiac,6000,1984,1N6AF0LY2EN030743,Orange,3295.64
647,Chevrolet,Suburban 1500,1997,1G6KD57Y84U496544,Pink,7599.24
648,Lincoln,MKX,2009,JN8AF5MV9FT825763,Mauv,3085.07
649,Toyota,MR2,2002,2LMDJ8JK2FB060933,Teal,1000.67
650,Toyota,Tundra,2005,2G61L5S38F9066345,Orange,4043.82
651,Lincoln,Town Car,1989,1G6KF57915U478777,Turquoise,7692.86
652,Hummer,H2,2003,WAUVC68E12A734401,Khaki,4382.92
653,Oldsmobile,Custom Cruiser,1992,5N1AT2MLXFC113145,Khaki,7050.7
654,Renault,Alliance,1983,JN1AZ4EH1AM166850,Puce,4036.77
655,GMC,Sonoma,1995,2G4GU5GV8C9664750,Goldenrod,8608.4
656,Pontiac,Vibe,2007,1G4GH5G36DF851559,Orange,2533.24
657,Ford,F350,2000,WAUBF98E98A732559,Yellow,9602.17
658,Ford,Aspire,1997,WVWAN7AN2DE630457,Yellow,7453.58
659,Buick,Riviera,1986,1N6AA0CC7DN520581,Fuscia,8936.06
660,BMW,M Roadster,2006,3VW4S7AT8EM484112,Goldenrod,3691.37
661,Mercury,Villager,2002,3LN6L2LUXFR500652,Crimson,4501.82
662,Nissan,Murano,2007,1N6AD0CU3AC538762,Teal,4732.08
663,Mazda,Mazda6,2012,SALAB2D48DA569517,Goldenrod,5894.76
664,GMC,EV1,1999,1GTC5LF93C8901214,Orange,9175.19
665,GMC,Envoy XUV,2004,1FTEX1C81AF561540,Crimson,6036.21
666,Lincoln,Town Car,2006,JM1DE1HY9B0317488,Indigo,1109.06
667,Lexus,LS,2012,WAUFFAFL9AA315372,Aquamarine,6339.62
668,MINI,Cooper,2012,WUAGNAFG1CN576782,Red,8966.5
669,Dodge,Ram 3500,1996,1G4GF5G35DF562761,Purple,5104.64
670,Hyundai,Accent,1998,5GADX33L36D065318,Pink,6144.03
671,Chevrolet,Uplander,2007,3D7JB1EK3BG885233,Green,2575.77
672,BMW,X5,2009,WVWAA7AH6AV330650,Maroon,8348.65
673,Mitsubishi,Pajero,2002,WBALZ5C54CD772809,Blue,2685.98
674,Porsche,Panamera,2013,WBADS43461G712293,Puce,6058.26
675,Ford,Mustang,1987,WBALZ3C53CC618814,Aquamarine,3647.47
676,Kia,Sportage,2012,1FTFW1E83AK111576,Fuscia,5597.03
677,Nissan,240SX,1996,2G4WS52J621726634,Fuscia,2436.18
678,Mercury,Tracer,1991,1GYEC638X7R904133,Red,7566.21
679,Honda,Odyssey,2001,1HGCP2E82AA855878,Teal,9002.6
680,Hyundai,Tiburon,2007,JM1NC2JFXC0619642,Red,7097.67
681,Mercury,Mountaineer,2008,WAU4FBFLXAA485902,Blue,2098.07
682,Cadillac,Escalade EXT,2007,WBANB33515B082855,Green,7037.82
683,Cadillac,Escalade ESV,2004,JTHDU1EF4C5339763,Red,5122.61
684,Kia,Sportage,2007,JA32U1FU2DU522347,Indigo,6873.96
685,GMC,Safari,1992,3C6LD4AT5CG990037,Green,8143.88
686,GMC,Savana 3500,2002,1G4HP57288U009631,Blue,5917.89
687,Ford,Mustang,1998,2HNYD18203H529249,Turquoise,3922.63
688,Porsche,Boxster,2011,3C4PDDAG2FT969753,Teal,2985.45
689,Mercury,Monterey,2006,WBA5B1C51ED906295,Crimson,2080.49
690,Ford,Mustang,2007,KMHFG4JG3FA024221,Mauv,5337.1
691,Ford,Focus,2009,2B3CK9CV0AH698594,Red,2033.27
692,Mazda,B-Series,1988,WA1CMBFP1FA498417,Violet,7676.43
693,Pontiac,Tempest,1966,WAU3FAFR2BA508066,Indigo,4765.28
694,Chevrolet,Suburban 1500,2002,SCFFDABE4AG459846,Indigo,8141.0
695,Hyundai,Azera,2010,19XFA1E85AE701556,Goldenrod,7460.09
696,Chevrolet,Lumina APV,1993,WA1AY74L49D587670,Puce,2868.47
697,Pontiac,Vibe,2006,SALME1D45CA545818,Orange,8072.67
698,Jeep,Grand Cherokee,2009,1N6AA0CJ9EN974458,Green,4821.14
699,Lamborghini,Countach,1989,JN8AF5MR5ET827611,Puce,6947.28
700,Jeep,Grand Cherokee,2012,5GADV23L76D143471,Violet,2225.11
701,Chrysler,Crossfire Roadster,2006,2B3CK5CT0AH353007,Violet,4168.44
702,Mercury,Sable,2002,WAUBH54B31N970470,Aquamarine,9489.5
703,BMW,3 Series,1992,4T3BA3BB0CU318920,Green,5951.38
704,Toyota,Paseo,1996,WBA3A9C54FF502454,Violet,5474.84
705,Ford,F150,1994,1G6DW677550140447,Teal,5354.25
706,Volkswagen,rio,1995,2LMHJ5AT6EB154000,Mauv,8744.01
707,Buick,Regal,1993,1G6DM8ED1B0413003,Indigo,4569.71
708,Mercedes-Benz,SL-Class,1997,JN1AJ0HP3BM157877,Indigo,4435.52
709,BMW,3 Series,1994,2G4WY55J011885741,Puce,3366.2
710,Toyota,Corolla,2000,2C4RRGAG4DR797060,Mauv,9293.88
711,Chevrolet,Cavalier,1992,1FMJU1F55AE886640,Goldenrod,1558.5
712,Mitsubishi,Lancer Evolution,2002,1FTNF1E83AK616447,Orange,8734.18
713,Pontiac,Firebird,1997,1N6AA0CC2DN314410,Aquamarine,7920.56
714,Saab,9-7X,2005,137FA90311E337211,Goldenrod,4862.57
715,Dodge,Ram,2010,5XXGM4A78CG704231,Puce,8867.87
716,Toyota,Highlander,2001,1FTSX2B58AE913700,Orange,4833.12
717,Eagle,Vision,1993,4T1BK3DB9AU557379,Turquoise,4542.99
718,Honda,Odyssey,2011,WAUDFAFL7AA071177,Goldenrod,4144.2
719,Audi,A5,2009,WP0AB2A91AS855481,Pink,5893.87
720,Volkswagen,Passat,2001,WVGAV3AX5EW293901,Orange,2495.56
721,Mercury,Grand Marquis,1986,WBA4B3C52FG210293,Maroon,8181.06
722,Dodge,Challenger,2012,WBAEN33453E769010,Teal,5813.81
723,Pontiac,Firebird Trans Am,1986,1G4CW54KX24944190,Crimson,2275.82
724,Volkswagen,New Beetle,2003,WVWAA7AJ6CW660630,Blue,1392.58
725,BMW,6 Series,2006,WAUEF48H88K191640,Orange,7495.17
